,tweets,likes,time,sentiment,confidence
0,"Panic Selling Increases Amid Fears of a Second Wave of Covid.
#COVID19 #nifty50 #bearish #StockMarket https://t.co/7VskYFcibb",0,Mon Apr 12 10:02:18 +0000 2021,NEGATIVE,0.9400528073310852
1,#Karnataka chief minister is adding fuel to fire by suggesting that Karnataka Govt will also consider completeâ€¦ https://t.co/0JOnFwMJRt,2,Mon Apr 12 10:01:14 +0000 2021,NEGATIVE,0.9991613626480103
2,"@narendramodi ji and @AmitShah your this greed of power will take life of many doctors , health workers,  securityâ€¦ https://t.co/qInLaWmquf",0,Mon Apr 12 07:33:06 +0000 2021,POSITIVE,0.8058167695999146
3,#Sensex experiencing the #Lockdown blues again. #BSE down 1300 points and #banknifty is down 4%. https://t.co/3JL2LB7Fg4,3,Mon Apr 12 04:51:27 +0000 2021,NEGATIVE,0.9218991994857788
4,"@satishjha @zoo_bear @DeccanHerald Why is there such a craze for Remsdesivir when all expert agencies, including WHâ€¦ https://t.co/cY1EpVeDQ6",3,Mon Apr 12 04:42:57 +0000 2021,POSITIVE,0.8847171068191528
5,"Sensex is down 1200 points. Increased Covid cases across India, fear of lock down &amp; RBIâ€™s unchanged monetary policyâ€¦ https://t.co/Vla5J9L6mJ",0,Mon Apr 12 04:39:04 +0000 2021,NEGATIVE,0.9366260170936584
6,"MARKETS DOWN 2.50%. COVID FEAR BACK, THE DAY WE'll HIT 200K CASES/DAY WHICH MAY HAPPEN IN A WEEK OR SO

WE THINK MAâ€¦ https://t.co/nDm535fkmg",0,Mon Apr 12 04:25:46 +0000 2021,NEGATIVE,0.9990252256393433
7,"#Nifty 14835 #BankNifty 32448 at close on Friday, 9March.
Covid19 cases surge to 1.7 lakhs and 904 deaths. 
Likelyâ€¦ https://t.co/wf0nAkktbT",1,Mon Apr 12 02:57:59 +0000 2021,NEGATIVE,0.9976685643196106
8,Daily increasing the Covid cases any plans have control in Telangana state? Remidesiver injection stocks have in hoâ€¦ https://t.co/MUCW6XstRv,1,Sun Apr 11 15:14:30 +0000 2021,NEGATIVE,0.839097261428833
9,"Save time. Download Inshorts, India's highest rated news app, to read news in 60 words.
https://t.co/gh3TK3Q6Rg https://t.co/B5aOnhTuZj",0,Sun Apr 11 13:41:29 +0000 2021,POSITIVE,0.9853378534317017
10,"@Mitesh_Engr hi Mitesh , how do u see the Nifty next week specially tomorrow amidst lockdown news in Maharashtra?",0,Sun Apr 11 13:30:27 +0000 2021,POSITIVE,0.8661277294158936
11,"On any other normal day( like some holiday) I would have loved the empty roads, the songs of the birds, reckless biâ€¦ https://t.co/4Z8vj8FCGa",6,Sun Apr 11 13:13:43 +0000 2021,POSITIVE,0.7995143532752991
12,"#COVID is #airborne,we at @amfahindia in the world to share the science with @WHO ,it's high time 10th-12â€¦ https://t.co/Ef6aQ7DUVm",2,Sun Apr 11 11:19:49 +0000 2021,POSITIVE,0.9937925934791565
13,@myogiadityanath Sir in such horrible situation of covid19 why private hospitals are not capped for the cost of illâ€¦ https://t.co/gEMZolMc3u,0,Sun Apr 11 07:50:22 +0000 2021,NEGATIVE,0.9999926090240479
14,"Jab Indian markets girte thi to kya bola news channels, Dowfuture  Sgx Nifty is trading in pressure, bond yield risâ€¦ https://t.co/JRcu8WCHSI",2,Sun Apr 11 07:24:16 +0000 2021,POSITIVE,0.5354675054550171
15,Nifty is 14900 n not 15600. N we should not worry about being long. Yes corona cases is an issue. But complete lockâ€¦ https://t.co/FGpUsnBpmo,6,Sun Apr 11 04:57:30 +0000 2021,NEGATIVE,0.8768520951271057
16,"PM Modi Calls For Mass Vaccination, 4-Day ""Tika Utsav"" Starts Today
Tika Utsav is taking place Amid states like Punâ€¦ https://t.co/9mwnWteU9u",0,Sun Apr 11 04:11:42 +0000 2021,NEGATIVE,0.9997265934944153
17,@AnilSinghvi_ Remembering programs like sensex ka sultan which have played a very imp role in keeping viewers updatâ€¦ https://t.co/xjcJyBAVdl,1,Sat Apr 10 14:12:09 +0000 2021,POSITIVE,0.9576350450515747
18,@TV9Marathi Sir people  can not  bear Second Lockdown pls think twice  when you  take  decession  for lock down,0,Sat Apr 10 13:44:07 +0000 2021,NEGATIVE,0.9962050318717957
19,"Put your best Face forward with @starstruckbysl Translucent HD loose powder!! 
Now available at flat 30% OFF on F#@â€¦ https://t.co/t0QrbrMf83",268,Sat Apr 10 04:05:17 +0000 2021,POSITIVE,0.9951484799385071
20,Lockdown will ensure that people cannot reach vaccination centres. 56 has sold the vaccine stocks abroad. https://t.co/IyhtGtLsh5,0,Sat Apr 10 03:03:50 +0000 2021,NEGATIVE,0.9988007545471191
21,"Amid the surging second wave of #COVID19 infections across the country, States are grappling with #vaccine shortageâ€¦ https://t.co/RlLups1CiD",1,Sat Apr 10 02:37:23 +0000 2021,NEGATIVE,0.9817835688591003
22,The news of fire in a #COVID19 hospital in #Nagpur is extremely tragic. My condolences to the families of the patieâ€¦ https://t.co/hq5iYua5Xv,464,Fri Apr 09 18:29:32 +0000 2021,NEGATIVE,0.8339450359344482
23,"@edujindal @BaroonV @BDUTT ""Coronavirus vaccination: India has Covid vaccine stocks for 5.5 days, 1 more weekâ€™s inâ€¦ https://t.co/sZFBnC39OM",0,Fri Apr 09 14:11:19 +0000 2021,NEGATIVE,0.7224703431129456
24,"@BaroonV @edujindal @BDUTT ""Coronavirus vaccination: India has Covid vaccine stocks for 5.5 days, 1 more weekâ€™s inâ€¦ https://t.co/jbugNNqvBU",0,Fri Apr 09 14:09:37 +0000 2021,NEGATIVE,0.7362107634544373
25,"@Vijay2Menon @edujindal @BDUTT ""Coronavirus vaccination: India has Covid vaccine stocks for 5.5 days, 1 more weekâ€™sâ€¦ https://t.co/iRD1xBuG3u",0,Fri Apr 09 14:09:14 +0000 2021,POSITIVE,0.7488651275634766
26,Tamil Nadu Govt warns that if the new restrictions announced yesterday for checking the spread of Corona fail to beâ€¦ https://t.co/aegV2luF5r,1,Fri Apr 09 09:57:27 +0000 2021,NEGATIVE,0.9993489384651184
27,So my Covid-19 vaccination (paid one) appointment for tomorrow just got cancelled. They are saying â€œNot enough vaccâ€¦ https://t.co/3A2KFOtwy4,0,Fri Apr 09 08:05:09 +0000 2021,NEGATIVE,0.9999669790267944
28,@myogiadityanath @dm_ghaziabad @manishBJPUP @TV9Bharatvarsh says no Covid vaccine available at few private hospitalâ€¦ https://t.co/pWU4f4sav7,0,Fri Apr 09 07:46:57 +0000 2021,NEGATIVE,0.9993104934692383
29,"ðŸŽF#@k the #covid_19 Chain Sale ðŸŽ
Last day to avail flat 30% OFF on #WildCherry ðŸ’‹
.
.
.
Offer valid only onâ€¦ https://t.co/qpP4XWfBM4",13,Fri Apr 09 06:04:14 +0000 2021,NEGATIVE,0.9728941917419434
30,"Parts of #Maharashtra may run out of Covid vaccines in three days and the Centre has been asked for more, state Heaâ€¦ https://t.co/mhIVt646pS",2,Fri Apr 09 05:01:56 +0000 2021,NEGATIVE,0.9885398745536804
31,"Time for Opposition 2 demand  JPC into this huge scam.What r they waiting for?
@priyankagandhi
@ShashiTharoorâ€¦ https://t.co/NSOprxFY5I",0,Fri Apr 09 04:18:04 +0000 2021,NEGATIVE,0.9999312162399292
32,"https://t.co/I42IlmRPld
This is the latest fallout of a crisis in Maharashtra, where a surge in cases has been exacâ€¦ https://t.co/szthZxY1AJ",0,Thu Apr 08 13:23:45 +0000 2021,NEGATIVE,0.7330141663551331
33,"@NDTV @IndiaToday
""India surpassing US in vaccination reassuring"": #Javadekar
https://t.co/81qlWdhuO5 
""Left with vâ€¦ https://t.co/7yBnfNzJLs",0,Thu Apr 08 08:45:48 +0000 2021,NEGATIVE,0.9995657801628113
34,"https://t.co/wZjysobIbX

@PMOIndia has ur Health Minister gone mad? One state who's religiously testing all their câ€¦ https://t.co/i4YhPmBBKC",0,Thu Apr 08 08:31:23 +0000 2021,NEGATIVE,0.9998637437820435
35,"Why Did Bank Stocks Crash During COVID-19? Via @NYUSternRisk Prof Viral Acharya, Robet Engle, Sascha Steffan https://t.co/ZGgk3dcwiz",0,Wed Mar 31 06:42:05 +0000 2021,NEGATIVE,0.9136283993721008
36,"Sensex, Nifty jump higher despite rising COVID-19 cases, stronger dollar; what's giving comfort to the market? https://t.co/7BVokmxvxV",0,Tue Mar 30 17:01:57 +0000 2021,POSITIVE,0.9943059086799622
37,"Month End + Penniless ðŸ˜¥

Buy Generic medicines in your budgetðŸ¤‘ &amp; save upto 80% on your billðŸ˜, with extra 10% off ðŸ¥³â€¦ https://t.co/2eeuCfbd2X",0,Tue Mar 30 05:27:52 +0000 2021,NEGATIVE,0.9989863038063049
38,Increased cases of COVID is not good for economic recovery. Lock Down is not good for Small Businesses which constiâ€¦ https://t.co/ItUUPEKoFx,1,Thu Mar 25 07:16:04 +0000 2021,NEGATIVE,0.9999445676803589
39,"#CoronaAt1 | #Stocks become #Multibaggers since 23 March #2020

#AwaazMarkets #CoronaVirus #lockdown #StockMarketâ€¦ https://t.co/31TygVdjex",0,Tue Mar 23 15:14:50 +0000 2021,NEGATIVE,0.5248703360557556
40,"https://t.co/EyE0ZL51ny

Stock market News | Covid 2ndwave | US GSec Yield | Market crash | US China Trade war | Goâ€¦ https://t.co/wn2dgEAPui",0,Sun Mar 21 19:18:02 +0000 2021,POSITIVE,0.9949405193328857
41,"Nifty heading towards 14k amidst covid scare. 

Fresh buying should be avoided. 

@kavitadeepeshj1 
@sanjiv_bhasin",1,Sun Mar 21 05:32:38 +0000 2021,POSITIVE,0.5091283917427063
42,#Equinox Day. Last year market fell sharply around this time due to Covid. Let see what happens this year. #Niftyâ€¦ https://t.co/bUq15RS1Wa,2,Sat Mar 20 08:45:31 +0000 2021,POSITIVE,0.5524623990058899
43,"Which stocks went up during Covid first wave and why.

IT- WFH

Consumer Food- Eat at home 

Telecom- â¬†ï¸Data consumâ€¦ https://t.co/MDvfcY3zsS",17,Sat Mar 20 06:14:22 +0000 2021,NEGATIVE,0.8582000732421875
44,"Covid vaccine stocks are depleting in Vasai-Virar

https://t.co/91Ed9nBVzW",9,Fri Mar 19 18:11:53 +0000 2021,NEGATIVE,0.9998797178268433
45,"Who will pay for the covid test report? 
What will be the cost ? 
Very unlikely that customers will pay covid testâ€¦ https://t.co/ksQ3TI9xh3",12,Fri Mar 19 06:30:24 +0000 2021,NEGATIVE,0.9994834661483765
46,"Reasons for selloff  in #markets 

- rising yields
- fear of inflation 
- third wave of #coronavirus
- Strengtheninâ€¦ https://t.co/pcIcG1a8O9",0,Tue Mar 16 01:29:06 +0000 2021,NEGATIVE,0.9926934242248535
47,"I am going to invest my whole money in the Covid 19 Stocks . 

 4 à¤¹à¤«à¥à¤¤à¥‡ à¤®à¥‡à¤‚ à¤ªà¥ˆà¤¸à¤¾ à¤¡à¤¬à¤²à¥¤ ðŸ˜‚ 
@finologyticker https://t.co/PEd84526Ot",2,Mon Mar 15 03:48:30 +0000 2021,NEGATIVE,0.9996046423912048
48,Sky News Fox News BREAKING NEWS ABC News Stop Fake News On SSR #Trending #CancelFox Fake News FoxNewsâ€¦ https://t.co/p97ocbMqHX,0,Sat Mar 13 20:05:34 +0000 2021,NEGATIVE,0.9991782307624817
49,Sky News Fox News BREAKING NEWS ABC News Stop Fake News On SSR #Trending #CancelFox Fake News FoxNewsâ€¦ https://t.co/xZgI2Uce7Y,0,Sat Mar 13 20:05:24 +0000 2021,NEGATIVE,0.9991874098777771
50,Sky News Fox News BREAKING NEWS ABC News Stop Fake News On SSR #Trending #CancelFox Fake News FoxNewsâ€¦ https://t.co/lQ3qofZOvQ,0,Sat Mar 13 20:05:13 +0000 2021,NEGATIVE,0.9987278580665588
51,Sky News Fox News BREAKING NEWS ABC News Stop Fake News On SSR #Trending #CancelFox Fake News FoxNewsâ€¦ https://t.co/4KCTQyw35d,0,Sat Mar 13 19:56:07 +0000 2021,NEGATIVE,0.9979615211486816
52,Sky News Fox News BREAKING NEWS ABC News Stop Fake News On SSR #Trending #CancelFox Fake News FoxNewsâ€¦ https://t.co/WfCPKdBCyB,0,Sat Mar 13 19:53:28 +0000 2021,NEGATIVE,0.9988579750061035
53,A rumor that there are limited stocks will ensure a scramble! Till then its wait or watch or jugaad!â€¦ https://t.co/EE68Lw79Z6,3,Fri Mar 12 14:06:47 +0000 2021,NEGATIVE,0.9975760579109192
